Date,Predicted Sales
2024-01-02,1214.9920793961555
2024-01-03,1214.6049091228506
2024-01-04,1214.2177388495459
2024-01-05,1213.830568576241
2024-01-06,1213.443398302936
2024-01-07,1213.056228029631
2024-01-08,1212.669057756326
2024-01-09,1212.2818874830211
2024-01-10,1211.8947172097164
2024-01-11,1211.5075469364115
2024-01-12,1211.1203766631065
2024-01-13,1210.7332063898016
2024-01-14,1210.3460361164966
2024-01-15,1209.9588658431917
2024-01-16,1209.5716955698867
2024-01-17,1209.1845252965818
2024-01-18,1208.797355023277
2024-01-19,1208.4101847499721
2024-01-20,1208.0230144766672
2024-01-21,1207.6358442033622
2024-01-22,1207.2486739300573
2024-01-23,1206.8615036567523
2024-01-24,1206.4743333834474
2024-01-25,1206.0871631101427
2024-01-26,1205.6999928368377
2024-01-27,1205.3128225635328
2024-01-28,1204.9256522902278
2024-01-29,1204.538482016923
2024-01-30,1204.151311743618
2024-01-31,1203.764141470313
